amenity,name,lon,lat
bank,Bancolombia,-75.5693157,6.2503327
school,Institucion Educativa La Milagrosa,-75.5545255,6.2351895
school,Vereda la Suiza,-75.7046176,6.3210191
school,Escuela Sanvicente de Paul,-75.5783912,6.2778686
hospital,Saludcoop Laureles,-75.5929633,6.2436264
clinic,Centro de Salud - Pinares de Oriente,-75.5405223,6.2432923
school,Escuela empresarial de educación - Esfuerzos de Paz,-75.5347731,6.2381052
public_building,UVA - Pinares de Oriente,-75.5408153,6.2438705
place_of_worship,IE Jaqueline Kennedy,-75.5960019,6.2222626
place_of_worship,Iglesia Belén San Bernardo,-75.5947385,6.2249379
place_of_worship,Ermita del Padre Marianito,-75.5481987,6.2260093
hospital,Instituto Neurológico de Colombia,-75.5633689,6.2522767
school,Escuela de Criptomonedas,-75.5624256,6.2368785
school,Escuela de Música El Limonar,-75.6397622,6.1771574
school,,-75.6358533,6.174765
place_of_worship,Capilla Jesús de Nazareth,-75.5630962,6.2273921
place_of_worship,Parroquia San Gabriel de la Dolorosa,-75.5898171,6.2005493
police,CAI Guayabal,-75.5873046,6.2035477
place_of_worship,Santa Maria de la Sierra,-75.5273406,6.2341585
bank,Banco de Bogotá,-75.5856351,6.2584586
nightclub,Casino Julián,-75.6299927,6.2539467
place_of_worship,Iglesia las Buenaventuranzas 20 de Julio,-75.6215426,6.2505845
place_of_worship,Parroquia Nuestra Señora del Carmen,-75.6160501,6.2563188
police,Escuela de Policía Carlos Holguín Mallarino,-75.5631917,6.3062295
school,La Inmaculada Colegio Femenino,-75.5977692,6.2169125
bus_station,La Sierra 103,-75.5255196,6.2353946
police,,-75.5253481,6.2356684
place_of_worship,Parroquia Madre del verbo Divino,-75.5842392,6.2473404
pharmacy,Droguería La Floresta,-75.5998849,6.2562653
place_of_worship,Iglesia Adventista de Séptimo Día,-75.58963,6.2096354
place_of_worship,Iglesia Cristiana,-75.5963829,6.227218
police,CAI,-75.5839059,6.2838569
nightclub,Discoteca Yambao,-75.5986118,6.2092383
bank,Banco de Bogotá,-75.6023316,6.2471142
bank,BBVA,-75.6024751,6.2449865
pharmacy,Farmacia de la Mona,-75.5412015,6.2907617
